"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"221",0,0.0455242534730453,0.758,0.046,0,"7","h1SMcG0007437"
"222",0,0.0452035147767486,0.749,0.024,0,"7","h1SMcG0014762"
"223",0,0.0450037282598297,0.145,0.004,0,"7","h1SMcG0006015"
"224",0,0.0448288836599281,0.197,0.006,0,"7","h1SMcG0015418"
"225",0,0.0447156284572801,0.724,0.052,0,"7","h1SMcG0001103"
"226",0,0.0441578016001901,0.395,0.013,0,"7","h1SMcG0002331"
"227",0,0.0428866876251202,0.103,0.003,0,"7","h1SMnG0019887"
"228",0,0.0423448353669302,0.198,0.006,0,"7","h1SMcG0020432"
"229",0,0.0418910727561042,0.42,0.017,0,"7","h1SMcG0007525"
"230",0,0.0415823611424284,0.119,0.003,0,"7","h1SMcG0008330"
"231",0,0.0408822299472124,0.329,0.012,0,"7","h1SMcG0016267"
"232",0,0.0407459936848344,0.567,0.024,0,"7","h1SMcG0018055"
"233",0,0.0395924121826836,0.106,0.004,0,"7","h1SMcG0000050"
"234",0,0.0393153677188009,0.114,0.004,0,"7","h1SMcG0008331"
"235",0,0.0388060405015041,0.16,0.006,0,"7","h1SMnG0016104"
"236",0,0.0375787872704453,0.4,0.019,0,"7","h1SMcG0005747"
"237",0,0.0374312663263406,0.291,0.013,0,"7","h1SMcG0013203"
"238",0,0.0357691255038469,0.408,0.022,0,"7","h1SMcG0006122"
"239",0,0.0354833829159903,0.101,0.004,0,"7","h1SMcG0006409"
"240",0,0.0354631090968124,0.113,0.005,0,"7","h1SMcG0002865"
"241",0,0.0639917687618415,0.383,0.004,0,"8","h1SMnG0032240"
"242",0,0.0583070740703145,0.119,0.002,0,"8","h1SMcG0017260"
"243",0,0.0530249708740502,0.107,0.002,0,"8","h1SMcG0009321"
"244",0,0.0513224532497807,0.206,0.004,0,"8","h1SMcG0004264"
"245",0,0.0511861708830095,0.189,0.004,0,"8","h1SMcG0015836"
"246",0,0.050070333368412,0.407,0.01,0,"8","h1SMcG0009814"
"247",0,0.0484840309943983,0.277,0.007,0,"8","h1SMcG0010721"
"248",0,0.0464822952587127,0.203,0.005,0,"8","h1SMcG0010504"
"249",0,0.045744463626306,0.218,0.006,0,"8","h1SMcG0002455"
"250",0,0.0451386037512694,0.182,0.005,0,"8","h1SMnG0026803"
"251",0,0.0450857591763453,0.566,0.022,0,"8","h1SMcG0007332"
"252",0,0.0445983425554653,0.1,0.003,0,"8","h1SMcG0010518"
"253",0,0.0443273024185752,0.176,0.005,0,"8","h1SMcG0022039"
"254",0,0.044297178400379,0.17,0.005,0,"8","h1SMcG0009382"
"255",0,0.0435610074704112,0.174,0.006,0,"8","h1SMcG0013800"
"256",0,0.0428682991446298,0.178,0.006,0,"8","h1SMcG0011059"
"257",0,0.041981042366027,0.898,0.09,0,"8","h1SMcG0015757"
"258",0,0.0418329606245924,0.459,0.018,0,"8","h1SMcG0008123"
"259",0,0.0402150643709811,0.385,0.015,0,"8","h1SMcG0018988"
"260",0,0.0402087348909723,0.277,0.011,0,"8","h1SMcG0018315"
"261",0,0.0391872901804007,0.178,0.007,0,"8","h1SMcG0002487"
"262",0,0.038853979219654,0.171,0.006,0,"8","h1SMcG0016259"
"263",0,0.0377481140781492,0.385,0.018,0,"8","h1SMcG0017763"
"264",0,0.0376942610012474,0.107,0.004,0,"8","h1SMcG0012189"
