"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"h1SMcG00206822",0,0.0404872227925807,0.376,0.023,0,"21","h1SMcG0020682"
"h1SMcG00052773",0,0.0388142108784234,0.577,0.04,0,"21","h1SMcG0005277"
"h1SMcG0018371",0,0.0380774089348508,0.147,0.008,0,"21","h1SMcG0018371"
"h1SMcG0013415",0,0.0375016500849453,0.172,0.012,0,"21","h1SMcG0013415"
"h1SMcG0007078",0,0.036312913456895,0.245,0.015,0,"21","h1SMcG0007078"
"h1SMcG00009982",0,0.0350900937671176,0.962,0.118,0,"21","h1SMcG0000998"
"h1SMcG0014130",0,0.0344811523270737,0.215,0.014,0,"21","h1SMcG0014130"
"h1SMcG00209833",0,0.0334078012052537,0.857,0.099,0,"21","h1SMcG0020983"
"h1SMcG00156102",0,0.0323135322734775,0.276,0.019,0,"21","h1SMcG0015610"
"h1SMcG0011518",0,0.0317278501444017,0.108,0.008,0,"21","h1SMcG0011518"
"h1SMcG0009223",0,0.0316800150834486,0.155,0.011,0,"21","h1SMcG0009223"
"h1SMcG00225553",0,0.0302079802869542,0.959,0.118,0,"21","h1SMcG0022555"
"h1SMcG00191413",0,0.0301587899609332,0.814,0.08,0,"21","h1SMcG0019141"
"h1SMcG00120643",0,0.0300831305927859,0.773,0.085,0,"21","h1SMcG0012064"
"h1SMcG00137983",0,0.0300753434641586,0.609,0.057,0,"21","h1SMcG0013798"
"h1SMcG00181003",0,0.0299322559874194,0.847,0.089,0,"21","h1SMcG0018100"
"h1SMcG00206903",0,0.0299271225680007,0.84,0.094,0,"21","h1SMcG0020690"
"h1SMcG00167413",0,0.0298998378701463,0.892,0.102,0,"21","h1SMcG0016741"
"h1SMcG00183733",0,0.0298465401856441,0.861,0.092,0,"21","h1SMcG0018373"
"h1SMcG0010732",0,0.0295981053678697,0.128,0.009,0,"21","h1SMcG0010732"
"h1SMcG00074333",0,0.0294084465789633,0.922,0.131,0,"21","h1SMcG0007433"
