target_id	length	eff_length	est_counts	tpm
h1SMcT0022985.1	1708	1446.36	107.927	3.62735
h1SMcT0022986.2	4197	3935.36	125.732	1.55309
h1SMcT0022987.1	1736	1474.36	0.509348	0.0167938
h1SMcT0023070.1	5147	4885.36	44.4485	0.44228
h1SMcT0023071.1	3817	3555.36	92.6517	1.2668
h1SMnT0035473.1	248	37.498	0	0
h1SMnT0035282.1	324	76.2312	0	0
h1SMnT0035410.1	802	540.408	8.32285	0.748664
h1SMnT0035411.1	1866	1604.36	18	0.545391
h1SMnT0035412.1	446	186.434	113.016	29.468
h1SMnT0035413.1	1162	900.36	0	0
h1SMnT0035414.1	455	195.192	1	0.249044
h1SMcT0023036.1	515	254.212	0	0
h1SMnT0035415.1	274	46.6114	4	4.17162
h1SMnT0035416.1	239	35.5667	0	0
h1SMnT0035017.1	213	33.0999	0.419421	0.615972
h1SMnT0035018.1	1006	744.36	47.895	3.12784
h1SMnT0035019.1	234	34.7339	12	16.7944
h1SMnT0035020.1	131	36.7687	0	0
h1SMnT0035021.1	207	33.0207	0	0
h1SMnT0035022.1	135	36.4271	0	0
h1SMnT0035023.1	407	148.833	0	0
h1SMnT0035024.1	220	33.3847	1	1.4561
h1SMnT0035025.1	684	422.499	70.5297	8.11491
h1SMnT0035026.1	238	35.4175	0	0
h1SMnT0035027.1	243	36.4061	0	0
h1SMcT0022751.1	540	279.006	1	0.17423
h1SMnT0035028.1	150	36.0617	0	0
h1SMcT0022752.1	3221	2959.36	202.707	3.32972
h1SMnT0035029.1	146	36.4574	0	0
h1SMcT0022842.1	1046	784.36	0	0
h1SMcT0022922.1	9129	8867.36	1404.55	7.69978
h1SMcT0022849.2	2324	2062.36	0	0
h1SMcT0022701.1	817	555.408	0	0
h1SMcT0022702.1	676	414.504	194.2	22.775
h1SMcT0022703.1	535	274.037	1.99213	0.353382
h1SMcT0022704.1	1049	787.36	64.4851	3.98128
h1SMnT0034947.1	228	33.9812	0	0
h1SMnT0035417.1	202	33.1802	0	0
h1SMcT0022754.1	524	263.141	25.1898	4.65342
h1SMcT0022755.1	2124	1862.36	818.362	21.3609
h1SMnT0035033.1	550	288.914	18	3.0286
h1SMcT0022756.1	4972	4710.36	99.0692	1.0224
h1SMnT0035034.1	528	267.088	0	0
h1SMcT0022757.1	1814	1552.36	99	3.10013
h1SMnT0035035.1	396	138.435	23	8.07645
h1SMcT0022758.1	1034	772.36	244.053	15.3604
h1SMnT0035036.17	1318	1056.36	127.657	5.8745
h1SMcT0022759.1	514	253.225	40	7.67875
h1SMnT0035037.1	353	99.5019	1	0.488546
h1SMnT0035275.1	259	40.7762	0	0
h1SMnT0035276.2	344	92.0235	0	0
h1SMnT0035277.1	253	38.8623	0	0
h1SMcT0023024.1	3051	2789.36	321.491	5.60275
h1SMnT0035402.1	289	53.8568	0	0
h1SMcT0023042.2	1466	1204.36	412.651	16.6557
h1SMnT0035427.1	1208	946.36	39	2.0033
h1SMcT0022862.1	1026	764.36	0	0
h1SMnT0035170.2	655	393.509	20.6342	2.549
h1SMcT0022863.1	1505	1243.36	75	2.93225
h1SMcT0022789.1	798	536.408	90	8.15613
h1SMnT0035068.1	373	117.124	53	21.9972
h1SMnT0035069.1	1659	1397.36	9	0.313091
h1SMnT0035460.1	632	370.528	0	0
h1SMcT0023056.1	588	326.696	5.93809	0.883568
h1SMcT0022984.1	1142	880.36	0	0
h1SMnT0035359.1	697	435.472	0	0
h1SMnT0034915.1	218	33.2572	0	0
h1SMnT0034916.1	209	33.1025	0	0
h1SMnT0034917.1	232	34.4458	0	0
h1SMnT0034918.1	438	178.68	0	0
h1SMcT0022663.1	1497	1235.36	0	0
h1SMcT0022829.1	1057	795.36	0	0
h1SMcT0022830.1	371	115.302	0	0
h1SMnT0035145.1	3971	3709.36	0	0
h1SMnT0035444.1	202	33.1802	0	0
h1SMnT0035445.1	540	279.006	0	0
h1SMnT0035446.1	441	181.594	0	0
h1SMcT0023050.1	519	258.164	0	0
h1SMnT0035455.1	341	89.5578	1.09969	0.596905
h1SMcT0022918.1	2327	2065.36	193.443	4.55297
h1SMnT0035239.1	1818	1556.36	3	0.0937019
h1SMnT0035240.1	770	508.408	0	0
h1SMnT0035241.1	620	358.56	0	0
h1SMnT0035136.1	309	65.8462	6.46658	4.77399
h1SMnT0035230.1	456	196.184	0	0
h1SMnT0035231.1	510	249.269	0	0
h1SMcT0022860.1	4973	4711.36	569.138	5.8723
h1SMcT0022647.1	2589	2327.36	0	0
h1SMcT0022648.1	629	367.542	0	0
h1SMnT0034902.1	468	207.905	0	0
h1SMcT0022649.1	2638	2376.36	0	0
h1SMnT0035064.1	502	241.354	8	1.61128
h1SMnT0035065.1	832	570.408	12.2636	1.04513
h1SMcT0022785.1	1558	1296.36	15.5718	0.583916
h1SMnT0035066.1	1891	1629.36	0	0
h1SMcT0022786.1	1547	1285.36	1053.61	39.8468
h1SMcT0022787.1	3997	3735.36	8.09396	0.105333
h1SMnT0035363.1	257	40.1077	0	0
h1SMcT0023005.1	2141	1879.36	28.112	0.72714
h1SMcT0022817.1	1546	1284.36	151.257	5.72486
h1SMnT0035117.1	904	642.378	0	0
h1SMcT0022818.1	1302	1040.36	430.245	20.1034
h1SMnT0035159.1	486	225.579	0	0
h1SMnT0035160.1	318	71.962	0	0
h1SMcT0022858.1	954	692.378	0	0
h1SMnT0035161.1	539	278.013	0	0
h1SMnT0035162.1	308	65.1632	0	0
h1SMcT0022859.1	870	608.386	29.4482	2.35297
h1SMnT0035163.1	521	260.154	0	0
h1SMnT0035164.1	315	69.8464	0	0
h1SMcT0022947.1	1393	1131.36	0	0
h1SMnT0035244.1	238	35.4175	0	0
h1SMcT0022935.1	764	502.415	1	0.0967553
h1SMcT0022867.1	1439	1177.36	0	0
h1SMcT0022868.1	1721	1459.36	104	3.46424
h1SMcT0022869.1	1944	1682.36	0	0
h1SMcT0022805.2	3906	3644.36	450.913	6.01463
h1SMnT0035454.1	2436	2174.36	0	0
h1SMnT0035118.1	507	246.294	4	0.789485
h1SMnT0035143.1	2223	1961.36	0	0
h1SMcT0022828.1	1708	1446.36	0	0
