homer_ID	cl	cl_name
Bapx1(Homeobox)/VertebralCol-Bapx1-ChIP-Seq(GSE36672)/Homer	c_12	Nkx/Bapx
Nkx2.1(Homeobox)/LungAC-Nkx2.1-ChIP-Seq(GSE43252)/Homer	c_12	Nkx/Bapx
Nkx2.2(Homeobox)/NPC-Nkx2.2-ChIP-Seq(GSE61673)/Homer	c_12	Nkx/Bapx
Nkx2.5(Homeobox)/HL1-Nkx2.5.biotin-ChIP-Seq(GSE21529)/Homer	c_12	Nkx/Bapx
Nkx3.1(Homeobox)/LNCaP-Nkx3.1-ChIP-Seq(GSE28264)/Homer	c_12	Nkx/Bapx
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	c_5	NR 1
GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)/Homer	c_5	NR 1
GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer	c_5	NR 1
MRE(NR)/Neuro2A-NR3C2-ChIPnexus(GSE115417)/Homer	c_5	NR 1
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)/Homer	c_5	NR 1
PR(NR)/T47D-PR-ChIP-Seq(GSE31130)/Homer	c_5	NR 1
ERb(NR),IR3/Ovary-ERb-ChIP-Seq(GSE203391)/Homer	c_49	NR(ERE)
ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer	c_49	NR(ERE)
HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)/Homer	c_70	NR(HNF4/RXR)
Nur77(NR)/K562-NR4A1-ChIP-Seq(GSE31363)/Homer	c_70	NR(HNF4/RXR)
PPARa(NR),DR1/Liver-Ppara-ChIP-Seq(GSE47954)/Homer	c_70	NR(HNF4/RXR)
PPARE(NR),DR1/3T3L1-Pparg-ChIP-Seq(GSE13511)/Homer	c_70	NR(HNF4/RXR)
RXR(NR),DR1/3T3L1-RXR-ChIP-Seq(GSE13511)/Homer	c_70	NR(HNF4/RXR)
TR4(NR),DR1/Hela-TR4-ChIP-Seq(GSE24685)/Homer	c_70	NR(HNF4/RXR)
Reverb(NR),DR2/RAW-Reverba.biotin-ChIP-Seq(GSE45914)/Homer	c_112	NR(Reverb/VDR)
VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)/Homer	c_112	NR(Reverb/VDR)
